ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
I2513,Iran,0.16,0.19,0.29,0.02,0.01,0.03,0.25,0.06,4070
I2514,Iran,0.16,0.19,0.29,0.01,0,0.03,0.27,0.05,3915
I2921,Iran,0.18,0.16,0.27,0,0.03,0.03,0.29,0.04,4820
I2922,Iran,0.16,0.19,0.28,0,0.01,0.03,0.28,0.05,3705
I2923,Iran,0.19,0.22,0.3,0.01,0.02,0.03,0.18,0.05,4160
I2924,Iran,0.17,0.21,0.28,0.01,0,0.04,0.25,0.05,4170
I2925,Iran,0.14,0.18,0.32,0.02,0.02,0.04,0.24,0.05,4170
I2927,Iran,0.21,0.2,0.27,0,0.04,0.03,0.19,0.05,3970
I2928,Iran,0.14,0.15,0.32,0.01,0.01,0.04,0.3,0.03,4095
I4241,Iran,0.31,0.11,0.13,0.01,0.02,0.04,0.35,0.03,7080
I4243,Iran,0.16,0.23,0.12,0.05,0.03,0.02,0.39,0.02,3875
I4349,Iran,0.26,0.15,0.16,0.02,0.02,0.06,0.3,0.03,6915
I4351,Iran,0.31,0.12,0.16,0.02,0.02,0.08,0.26,0.03,7100
I8725,Iran,0.13,0.26,0.29,0.01,0,0.04,0.19,0.07,4300
I0507,Kazakhstan,0.05,0.27,0.04,0.08,0,0.01,0.45,0.09,3420
I11501,Kazakhstan,0,0.44,0.11,0.09,0.01,0.02,0.23,0.1,4495
I11531,Kazakhstan,0.02,0.44,0.09,0.1,0.01,0.02,0.21,0.11,4385
I11537,Kazakhstan,0.13,0.24,0.07,0.09,0.01,0.02,0.34,0.1,2455
I11538,Kazakhstan,0.14,0.24,0.05,0.1,0.02,0.01,0.42,0.02,3375
I11540,Kazakhstan,0.09,0.28,0.12,0.06,0,0.02,0.34,0.1,1825
I11541,Kazakhstan,0.13,0.3,0.04,0.1,0.02,0.02,0.36,0.03,3430
I11732,Kazakhstan,0.03,0.48,0.11,0.1,0.01,0.02,0.16,0.1,4365
I11734,Kazakhstan,0.03,0.46,0.09,0.14,0,0.02,0.14,0.12,4360
I11735,Kazakhstan,0.02,0.43,0.08,0.11,0.01,0.01,0.24,0.1,3885
I11736,Kazakhstan,0.03,0.38,0.09,0.08,0.02,0.01,0.35,0.04,4425
I11737,Kazakhstan,0.02,0.44,0.07,0.11,0.02,0.02,0.19,0.13,3710
I1931,Kazakhstan,0.06,0.26,0.1,0.09,0,0.01,0.43,0.04,3130
I3447,Kazakhstan,0.02,0.47,0.09,0.1,0,0.02,0.14,0.16,4075
I3451,Kazakhstan,0.1,0.21,0.06,0.06,0,0.01,0.34,0.22,2720
I3753,Kazakhstan,0.06,0.26,0.06,0.09,0.01,0.01,0.35,0.15,2860
I3763,Kazakhstan,0.06,0.27,0.1,0.09,0,0.01,0.33,0.13,3240
I3767,Kazakhstan,0.11,0.19,0.05,0.1,0.01,0.01,0.51,0.02,3430
I3770,Kazakhstan,0.09,0.23,0.06,0.09,0.01,0.01,0.44,0.05,3645
I3772,Kazakhstan,0.07,0.23,0.04,0.09,0.01,0.01,0.31,0.24,2810
I3788,Kazakhstan,0.12,0.29,0.04,0.1,0.01,0.01,0.38,0.05,3330
I3860,Kazakhstan,0,0.4,0.12,0.09,0.03,0.02,0.27,0.08,3365
I3861,Kazakhstan,0.15,0.19,0.04,0.1,0.03,0.01,0.42,0.06,3435
I3864,Kazakhstan,0.13,0.27,0.05,0.09,0.01,0.01,0.42,0.01,3345
I3976,Kazakhstan,0.06,0.24,0.08,0.09,0.02,0.02,0.34,0.15,2900
I3977,Kazakhstan,0.04,0.25,0.11,0.07,0.01,0.01,0.37,0.15,2885
I4262,Kazakhstan,0.12,0.21,0.05,0.1,0.02,0.01,0.47,0.02,3465
I4263,Kazakhstan,0.1,0.25,0.06,0.1,0.01,0.01,0.46,0.01,3415
I4264,Kazakhstan,0.13,0.22,0.05,0.1,0.03,0.01,0.45,0.01,3335
I4265,Kazakhstan,0.12,0.27,0.04,0.09,0,0.01,0.46,0.02,3310
I4267,Kazakhstan,0.08,0.26,0.08,0.09,0.02,0.02,0.37,0.09,2905
I4295,Kazakhstan,0.07,0.27,0.06,0.1,0.01,0.02,0.35,0.14,2935
I4318,Kazakhstan,0.15,0.25,0.03,0.1,0,0.02,0.41,0.04,3415
I4321,Kazakhstan,0.12,0.25,0.06,0.08,0.01,0.01,0.41,0.04,3310
I4322,Kazakhstan,0.13,0.22,0.08,0.09,0.01,0.01,0.41,0.04,3270
I4323,Kazakhstan,0.13,0.26,0.05,0.1,0.01,0.01,0.42,0.02,3385
I4566,Kazakhstan,0.05,0.3,0.05,0.1,0.01,0.02,0.35,0.14,3350
I4567,Kazakhstan,0.14,0.24,0.04,0.12,0,0.01,0.44,0.01,3390
I4568,Kazakhstan,0.18,0.25,0,0.1,0,0.01,0.44,0.02,3395
I4773,Kazakhstan,0.12,0.18,0.07,0.11,0.03,0.02,0.46,0.02,3290
I4774,Kazakhstan,0.12,0.21,0.06,0.08,0.02,0.01,0.47,0.02,3285
I4776,Kazakhstan,0.12,0.23,0.06,0.09,0,0.02,0.46,0.02,3415
I4778,Kazakhstan,0.16,0.24,0.05,0.1,0,0.02,0.42,0.01,3345
I4779,Kazakhstan,0.15,0.24,0.03,0.11,0.03,0.02,0.42,0.01,3395
I4780,Kazakhstan,0.13,0.38,0.06,0.1,0,0.01,0.21,0.12,3410
I4782,Kazakhstan,0.12,0.25,0.04,0.09,0,0.02,0.44,0.04,3370
I4783,Kazakhstan,0.11,0.25,0.06,0.09,0.03,0.02,0.43,0.02,3250
I4784,Kazakhstan,0.06,0.33,0.12,0.06,0,0.02,0.34,0.07,3290
I4787,Kazakhstan,0.08,0.27,0.06,0.1,0.01,0.01,0.44,0.02,3015
I4789,Kazakhstan,0.11,0.24,0.05,0.1,0.01,0.02,0.46,0.01,3270
I4790,Kazakhstan,0.11,0.24,0.05,0.1,0.02,0.02,0.43,0.03,3220
I6707,Kazakhstan,0.13,0.21,0.04,0.1,0.03,0.01,0.44,0.03,3230
I6708,Kazakhstan,0.02,0.4,0.06,0.08,0,0.02,0.09,0.33,3705
I6709,Kazakhstan,0.14,0.25,0.08,0.08,0.02,0.02,0.36,0.05,3025
I6788,Kazakhstan,0.18,0.26,0.04,0.13,0.03,0.01,0.35,0.01,3425
I6789,Kazakhstan,0.11,0.18,0.05,0.09,0.04,0.02,0.49,0.03,3455
I6790,Kazakhstan,0.14,0.19,0.04,0.09,0.04,0.01,0.48,0.01,3435
I6791,Kazakhstan,0.12,0.21,0.04,0.08,0.02,0.01,0.51,0,3425
I6792,Kazakhstan,0.09,0.24,0.05,0.09,0.02,0.01,0.45,0.05,3450
I6793,Kazakhstan,0.15,0.24,0.03,0.09,0.02,0.01,0.46,0.01,3395
I6794,Kazakhstan,0.14,0.2,0.03,0.09,0.02,0.01,0.48,0.02,3445
I6795,Kazakhstan,0.03,0.41,0.06,0.11,0,0.02,0.27,0.1,3405
I6796,Kazakhstan,0.15,0.21,0.05,0.09,0.03,0.02,0.46,0,3485
I6797,Kazakhstan,0.11,0.25,0.05,0.09,0,0.01,0.46,0.02,3435
I6799,Kazakhstan,0.06,0.27,0.06,0.1,0.02,0.02,0.42,0.04,3445
I6800,Kazakhstan,0.12,0.25,0.05,0.09,0,0.02,0.46,0.01,3415
I7060,Kazakhstan,0.09,0.25,0.07,0.1,0.03,0.01,0.44,0.03,3235
I11526,Kyrgyzstan,0.03,0.34,0.22,0.03,0,0.03,0.24,0.11,3735
I11527,Kyrgyzstan,0.03,0.33,0.2,0.03,0,0.03,0.28,0.1,3630
I10974,Pakistan,0.12,0.25,0.21,0.02,0,0.03,0.21,0.16,2800
I12138,Pakistan,0.1,0.25,0.16,0.04,0,0.03,0.3,0.11,2845
I12147,Pakistan,0.1,0.25,0.21,0.03,0,0.04,0.24,0.12,2910
I12450,Pakistan,0.08,0.24,0.23,0.03,0.01,0.04,0.21,0.16,2630
I12457,Pakistan,0.09,0.21,0.23,0.02,0.02,0.03,0.23,0.16,2830
I13226,Pakistan,0.1,0.21,0.21,0.03,0.01,0.05,0.21,0.18,2810
