ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
I1388,France,0.315,0.021,0,0.085,0.011,0.014,0.54,0.013,4245
I5376,UnitedKingdom,0.134,0.216,0.056,0.107,0.041,0.006,0.426,0.015,4248
I0112,Germany,0.032,0.235,0,0.075,0.016,0.005,0.636,0,4250
I6581,Poland,0.282,0.111,0.002,0.08,0.038,0.023,0.453,0.011,4250
I5385,UnitedKingdom,0.135,0.208,0.056,0.072,0.048,0.015,0.45,0.015,4251
I2416,UnitedKingdom,0.259,0.119,0,0.121,0.015,0.019,0.466,0,4253
I2459,UnitedKingdom,0.162,0.207,0.063,0.119,0.037,0.022,0.364,0.027,4253
I2450,UnitedKingdom,0.152,0.194,0.033,0.108,0.017,0.015,0.47,0.012,4254
I0805,Germany,0.084,0,0.318,0.191,0.098,0,0.308,0,4255
I2741,Hungary,0.352,0.024,0.002,0.089,0.007,0.023,0.503,0,4255
I2417,UnitedKingdom,0.117,0.23,0.027,0.104,0.03,0.017,0.46,0.015,4270
I2461,UnitedKingdom,0.147,0.17,0.038,0.102,0.026,0.014,0.494,0.01,4270
I0461,Spain,0.223,0.057,0.003,0.095,0.005,0.026,0.575,0.016,4278
I0840,Portugal,0.293,0,0,0.141,0,0.019,0.515,0.031,4278
I2418,UnitedKingdom,0.118,0.184,0.038,0.11,0.024,0.008,0.501,0.017,4278
I2787,Hungary,0.133,0.276,0.064,0.094,0.035,0.017,0.357,0.023,4279
I5020,Germany,0.207,0.138,0,0.119,0.018,0.023,0.483,0.011,4281
I0458,Spain,0.287,0.05,0,0.07,0,0,0.557,0.037,4282
I2786,Hungary,0.142,0.19,0.031,0.095,0.044,0.014,0.468,0.017,4282
I4253,Poland,0.192,0.166,0.009,0.106,0.017,0.014,0.484,0.014,4282
RISE664,Russia,0,0.236,0,0,0,0,0.473,0.291,4282.5
I5017,Germany,0.27,0.196,0.011,0.058,0,0.014,0.442,0.01,4283
I0460,Spain,0.258,0,0,0.109,0.003,0.015,0.591,0.022,4285
I2365,Hungary,0.204,0.165,0.024,0.107,0.032,0.036,0.413,0.018,4286
E09538,Germany,0.308,0.128,0.019,0.076,0.035,0.017,0.4,0.017,4287
I0049,Germany,0.031,0.473,0.129,0.112,0,0.005,0.249,0,4287
I0106,Germany,0.131,0.661,0.117,0.076,0,0,0.016,0,4287
I4247,Spain,0.393,0,0,0.107,0.012,0.027,0.447,0.014,4287
I5015,Hungary,0.326,0.037,0.025,0.034,0.096,0.019,0.444,0.02,4288
I0111,Germany,0.066,0.034,0.033,0.046,0.148,0.014,0.659,0,4290
I1390,France,0.211,0.184,0.04,0.092,0.021,0.013,0.419,0.02,4295
I3529,Hungary,0.185,0.157,0.012,0.082,0,0.015,0.534,0.015,4300
I4178,Hungary,0.214,0.181,0.001,0.11,0,0.022,0.465,0.006,4300
I5367,UnitedKingdom,0.151,0.164,0.03,0.122,0.031,0.013,0.481,0.008,4300
I7040,Hungary,0.311,0.123,0,0.101,0,0.012,0.453,0,4300
I7041,Hungary,0.299,0.117,0,0.044,0.014,0.015,0.504,0.008,4300
I7042,Hungary,0.404,0.02,0.002,0.068,0.002,0.014,0.484,0.006,4300
I7043,Hungary,0.29,0.118,0.009,0.067,0.018,0.017,0.47,0.011,4300
I7044,Hungary,0.353,0.06,0.003,0.103,0,0.016,0.454,0.01,4300
I7045,Hungary,0.366,0.052,0,0.093,0,0.014,0.467,0.007,4300
I7205,CzechRepublic,0.156,0.223,0.032,0.115,0.005,0.018,0.442,0.01,4300
I7210,CzechRepublic,0.194,0.143,0.026,0.094,0.015,0.013,0.502,0.014,4300
I7211,CzechRepublic,0.219,0.133,0.024,0.113,0.014,0.012,0.477,0.007,4300
I7212,CzechRepublic,0.184,0.134,0.032,0.087,0.02,0.016,0.513,0.015,4300
I7213,CzechRepublic,0.189,0.165,0.035,0.119,0.001,0.013,0.47,0.008,4300
I7214,CzechRepublic,0.225,0.132,0.036,0.116,0.009,0.016,0.434,0.032,4300
I7249,CzechRepublic,0.218,0.171,0,0.104,0.022,0.012,0.458,0.015,4300
I7250,CzechRepublic,0.254,0.108,0.017,0.072,0.047,0.02,0.474,0.007,4300
I7251,CzechRepublic,0.192,0.184,0.023,0.095,0.028,0.01,0.459,0.009,4300
I7269,CzechRepublic,0.193,0.156,0.041,0.096,0.027,0.013,0.46,0.014,4300
I7271,CzechRepublic,0.273,0.214,0.018,0.121,0.023,0.012,0.338,0,4300
I7275,CzechRepublic,0.229,0.184,0.041,0.078,0.041,0.015,0.4,0.013,4300
I7276,CzechRepublic,0.195,0.169,0.046,0.096,0.018,0.009,0.446,0.021,4300
I7278,CzechRepublic,0.199,0.168,0.013,0.091,0.008,0.015,0.486,0.019,4300
I7281,CzechRepublic,0.183,0.186,0.033,0.112,0.024,0.017,0.43,0.015,4300
I7282,CzechRepublic,0.219,0.125,0.015,0.11,0.023,0.016,0.474,0.019,4300
I7283,CzechRepublic,0.281,0.06,0.012,0.126,0.029,0.016,0.465,0.012,4300
I7286,CzechRepublic,0.204,0.139,0,0.141,0.002,0.014,0.485,0.014,4300
I7287,CzechRepublic,0.203,0.169,0.015,0.117,0.025,0.013,0.443,0.016,4300
I7289,CzechRepublic,0.231,0.136,0.017,0.096,0.014,0.013,0.47,0.023,4300
I7290,CzechRepublic,0.199,0.138,0.017,0.097,0.035,0.017,0.483,0.013,4300
Olsund,Sweden,0.137,0.198,0.059,0.09,0.026,0.008,0.468,0.014,4307
I0118,Germany,0.162,0.004,0.006,0.092,0.212,0.021,0.474,0.029,4309
I5379,UnitedKingdom,0.222,0.175,0.01,0.085,0.013,0.017,0.463,0.016,4333
I1730,Jordan,0.357,0,0.643,0,0,0,0,0,4344
I1706,Jordan,0.385,0,0.615,0,0,0,0,0,4345
I0459,Spain,0.286,0.009,0,0.113,0.008,0.016,0.557,0.011,4350
I5748,TheNetherlands,0.136,0.221,0.062,0.106,0.012,0.014,0.449,0,4356
I2495,Turkey,0.399,0.105,0.055,0.01,0.009,0.072,0.34,0.011,4377
I0104,Germany,0.002,0.475,0.041,0.017,0,0,0.466,0,4378
I3528,Hungary,0.236,0.094,0.019,0.169,0.017,0.015,0.451,0,4380
I0108,Germany,0.108,0.152,0,0.089,0.002,0.018,0.63,0,4387
I5021,Germany,0.022,0.068,0.019,0.031,0.051,0.074,0.71,0.025,4406
I1277,Spain,0.275,0.01,0.004,0.164,0,0.029,0.504,0.015,4407
I1539,Germany,0.161,0.614,0,0.149,0.056,0,0.019,0,4408
I2932,UnitedKingdom,0.355,0.021,0,0.113,0,0.021,0.482,0.008,4409
RISE552,Russia,0,0.999,0,0,0,0,0.001,0,4446
Bul6,Bulgaria,0.414,0.02,0,0.096,0.034,0.019,0.405,0.012,4450
I0374,Russia,0,0.994,0,0.006,0,0,0,0,4450
I1970,Portugal,0.361,0.025,0,0.127,0.007,0.024,0.455,0,4450
Kunila2_merged,Estonia,0.08,0.206,0.049,0.058,0.015,0.042,0.541,0.009,4463
RISE00,Estonia,0.009,0.259,0,0.007,0,0.012,0.713,0,4463
I1633,Armenia,0,0,1,0,0,0,0,0,4465
I0550,Germany,0.017,0.622,0.046,0.033,0.05,0.005,0.223,0.004,4471
I2630,UnitedKingdom,0.338,0.007,0,0.098,0.003,0.017,0.531,0.006,4472
I0103,Germany,0.002,0.342,0.074,0.07,0.088,0,0.423,0,4473
I1635,Armenia,0,0,1,0,0,0,0,0,4492
I2683,Turkey,0.408,0.106,0.063,0.025,0.02,0.071,0.308,0,4494
RISE829,Kazakhstan,0,0.308,0,0,0,0,0.379,0.312,4494
Gyvakarai1,Lithuania,0.028,0.248,0.043,0.078,0.029,0.042,0.496,0.036,4495
RISE94,Sweden,0,0.224,0.072,0.036,0.002,0.038,0.622,0.007,4497
I7272,CzechRepublic,0.393,0.015,0,0.088,0,0.021,0.469,0.014,4500
I7279,CzechRepublic,0.161,0.252,0.03,0.107,0.031,0.019,0.392,0.007,4500
I7280,CzechRepublic,0.127,0.245,0.058,0.088,0.034,0.015,0.416,0.017,4500
I6617,Spain,0.368,0.013,0,0.124,0.004,0.015,0.465,0.011,4550
I1271,Spain,0.316,0,0,0.173,0.011,0.02,0.472,0.008,4573
I1276,Spain,0.249,0.01,0,0.305,0,0.01,0.404,0.022,4573
I1280,Spain,0.412,0.015,0,0.169,0,0.02,0.383,0,4573
I1282,Spain,0.219,0,0.145,0.26,0.01,0.02,0.347,0,4573
I1284,Spain,0.316,0,0.005,0.183,0,0.011,0.448,0.036,4573
I1300,Spain,0.294,0.005,0,0.178,0.004,0.019,0.486,0.014,4573
I1303,Spain,0.303,0.015,0,0.173,0,0.021,0.454,0.033,4573
I5838,Spain,0.367,0.005,0.003,0.128,0.013,0.021,0.454,0.009,4573
Plinkaigalis241,Lithuania,0.11,0.228,0.037,0.091,0,0.013,0.502,0.019,4585
RISE446,Germany,0.009,0.254,0.015,0.048,0,0.035,0.632,0.008,4597
I1392,France,0.368,0.015,0,0.1,0.006,0.016,0.48,0.014,4604
I2499,Turkey,0.468,0.103,0.065,0.032,0.027,0.07,0.236,0,4604
RISE510,Russia,0,1,0,0,0,0,0,0,4610
RISE61,Denmark,0.041,0.321,0,0.047,0.002,0.034,0.555,0,4622
I0126,Russia,0,0,0,0,1,0,0,0,4626
I1272,Spain,0.271,0,0.026,0.167,0,0.022,0.496,0.018,4627
RISE555,Russia,0,1,0,0,0,0,0,0,4627
RISE435,Germany,0.011,0.434,0.045,0.047,0,0.047,0.416,0,4631
I6601,Portugal,0.353,0.009,0,0.095,0,0.03,0.496,0.017,4650
RISE546,Russia,0,1,0,0,0,0,0,0,4650
RISE548,Russia,0,1,0,0,0,0,0,0,4650
I1281,Spain,0.284,0.005,0.023,0.16,0.006,0.023,0.485,0.014,4670
I2403,Poland,0.315,0,0.011,0.127,0.02,0.013,0.494,0.02,4673
RISE436,Germany,0.017,0,0.017,0.037,0.033,0.047,0.8,0.048,4674
I2792,Croatia,0.385,0,0,0.024,0,0.014,0.562,0.014,4677
I0371,Russia,0.025,0.975,0,0,0,0,0,0,4678
I0432,Russia,0.036,0.071,0.038,0.116,0,0.014,0.712,0.013,4681
RISE489,Italy,0.213,0.009,0.008,0.061,0.004,0.067,0.609,0.03,4693
I1274,Spain,0.397,0.021,0,0.11,0,0.018,0.454,0,4705
I1314,Spain,0.345,0,0.013,0.137,0.021,0.025,0.44,0.019,4705
RISE434,Germany,0.008,0.212,0.117,0.06,0,0.05,0.536,0.016,4705
RISE240,Russia,0,0.737,0,0.003,0.259,0,0,0,4706
RISE547,Russia,0,1,0,0,0,0,0,0,4711
I0440,Russia,0,0.001,0,0,0.999,0,0,0,4725
I3499,Croatia,0.353,0.165,0.012,0.055,0.001,0.021,0.393,0,4725
RISE509,Russia,0,0.983,0,0,0.017,0,0,0,4732
ATP2,Spain,0.414,0.011,0,0.09,0.005,0.056,0.411,0.014,4739
I0581,Spain,0.258,0.01,0,0.106,0,0.019,0.584,0.023,4740
ILK002,Ukraine,0.3,0.02,0.002,0.098,0.011,0.033,0.525,0.011,4742
I5884,Ukraine,0.12,0.16,0.026,0.275,0,0.013,0.4,0.006,4743
RISE511,Russia,0,0,0,0,1,0,0,0,4744
Ajvide52,Sweden,0,0,0,1,0,0,0,0,4750
Ajvide58,Sweden,0,0,0,1,0,0,0,0,4750
Ajvide70,Sweden,0.022,0.061,0,0.446,0,0,0.439,0.032,4750
ILK001,Ukraine,0.318,0.005,0.002,0.111,0.008,0.024,0.523,0.009,4753
ILK003,Ukraine,0.312,0.02,0.004,0.095,0.004,0.036,0.517,0.012,4755
I2510,Bulgaria,0.43,0.031,0,0.025,0.001,0.018,0.487,0.008,4758
I0441,Russia,0,1,0,0,0,0,0,0,4766
I0438,Russia,0,0.954,0,0,0.046,0,0,0,4778
I4629,Latvia,0.052,0.336,0.095,0.075,0.041,0.016,0.371,0.013,4833
I2977,UnitedKingdom,0.367,0.02,0.001,0.094,0.008,0.019,0.485,0.005,4836
I0231,Russia,0,1,0,0,0,0,0,0,4843
ATP12,Spain,0.172,0.011,0.004,0.152,0,0.048,0.585,0.028,4895
Plinkaigalis242,Lithuania,0.061,0.321,0.055,0.1,0.021,0.019,0.416,0.007,4895
I2933,UnitedKingdom,0.354,0.009,0,0.141,0.017,0.018,0.449,0.012,4898
Gokhem2,Sweden,0.202,0.012,0.007,0.194,0.002,0.076,0.493,0.013,4900
RISE786,Kazakhstan,0,0.299,0,0,0,0,0.701,0,4902.5
Bul4,Bulgaria,0.23,0.207,0.039,0.077,0.004,0.018,0.401,0.024,4906
I2165,Bulgaria,0.262,0.13,0.016,0.086,0.031,0.013,0.452,0.009,4908
I1843,Spain,0.324,0.025,0,0.146,0,0.018,0.468,0.019,4935
RISE550,Russia,0,1,0,0,0,0,0,0,4935
I5358,UnitedKingdom,0.37,0,0,0.081,0,0.03,0.518,0,4942
I0357,Russia,0,0,0,0,1,0,0,0,4950
I0370,Russia,0,0.577,0,0,0.423,0,0,0,4950
I0443,Russia,0,0,0,0,1,0,0,0,4950
I0444,Russia,0,0,0,0,1,0,0,0,4950
I2105,Ukraine,0.071,0.361,0.088,0.089,0.032,0.014,0.329,0.017,4950
I2433,Poland,0.348,0.028,0,0.094,0.006,0.013,0.5,0.011,4950
I2440,Poland,0.401,0.01,0,0.141,0,0.008,0.44,0,4950
I2631,UnitedKingdom,0.347,0.007,0,0.096,0,0.019,0.524,0.007,4952
I1917,Ukraine,0.126,0.244,0.119,0.052,0.042,0.027,0.356,0.035,4955
I3276,Spain,0.357,0.01,0,0.151,0.003,0.02,0.456,0.003,4955
I3269,Spain,0.318,0.007,0.002,0.145,0,0.014,0.507,0.007,5000
I3270,Spain,0.351,0,0,0.153,0,0.012,0.47,0.014,5000
I3271,Spain,0.307,0.019,0,0.131,0,0.023,0.52,0,5000
I3272,Spain,0.416,0.039,0,0.145,0,0.018,0.38,0.001,5033
ATP16,Spain,0.22,0.007,0.008,0.085,0.001,0.052,0.605,0.021,5039
I3138,UnitedKingdom,0.334,0.013,0,0.098,0,0.019,0.521,0.014,5043
I5882,Ukraine,0.144,0.209,0,0.267,0.006,0.006,0.349,0.02,5047
I2441,Poland,0.37,0.005,0,0.112,0.012,0.021,0.477,0.003,5050
I0439,Russia,0,0,0,0,1,0,0,0,5065
I2606,UnitedKingdom,0.346,0.013,0.003,0.115,0.014,0.02,0.476,0.013,5065
I1497,Hungary,0.517,0.008,0,0.091,0.005,0.017,0.357,0.006,5069
I0429,Russia,0,1,0,0,0,0,0,0,5078
I2367,Hungary,0.427,0.023,0.002,0.055,0,0.019,0.473,0,5081
I2753,Hungary,0.395,0.022,0,0.084,0.006,0.022,0.466,0.005,5081
RISE507.508.merge,Russia,0.003,0.041,0,0,0.943,0.002,0.008,0.003,5083
I2979,UnitedKingdom,0.363,0.012,0,0.098,0,0.016,0.512,0,5087
I2366,Hungary,0.4,0.023,0,0.062,0.005,0.012,0.484,0.014,5093
I2370,Hungary,0.378,0.015,0,0.052,0,0.025,0.526,0.004,5096
I1838,Spain,0.343,0.019,0,0.129,0.001,0.02,0.471,0.017,5099
I2175,Bulgaria,0.346,0.062,0.018,0.086,0.005,0.013,0.455,0.016,5122
I2935,UnitedKingdom,0.366,0.014,0,0.124,0.002,0.018,0.467,0.008,5123
I2978,UnitedKingdom,0.366,0.011,0,0.095,0.01,0.013,0.494,0.012,5129
I2934,UnitedKingdom,0.368,0.011,0,0.099,0.012,0.012,0.482,0.016,5130
I2754,Hungary,0.466,0.016,0,0.049,0.014,0.016,0.425,0.013,5131
bally,UnitedKingdom,0.26,0.01,0.001,0.078,0.002,0.045,0.595,0.008,5132
I2176,Bulgaria,0.349,0.045,0,0.089,0,0.019,0.49,0.007,5132
I2520,Bulgaria,0.348,0.079,0,0.105,0,0.016,0.435,0.017,5132
I3085,UnitedKingdom,0.387,0.008,0,0.113,0,0.02,0.464,0.007,5132
I5117,Hungary,0.386,0,0,0.088,0,0.008,0.497,0.022,5150
I5118,Hungary,0.4,0.012,0.007,0.079,0.021,0.016,0.451,0.014,5150
I5119,Hungary,0.391,0.023,0,0.047,0,0.024,0.508,0.006,5150
I0551,Germany,0.337,0,0,0.161,0.015,0.021,0.466,0,5163
I1658,Armenia,0,0,1,0,0,0,0,0,5170
I0172,Germany,0.22,0.012,0,0.047,0.002,0.044,0.649,0.027,5173
I2752,Hungary,0.426,0.032,0,0.054,0.003,0.026,0.452,0.007,5175
I2785,Hungary,0.398,0.028,0,0.07,0.009,0.019,0.476,0,5175
I2371,Hungary,0.434,0.013,0.003,0.07,0.011,0.021,0.44,0.009,5179
I2651,UnitedKingdom,0.328,0.018,0,0.093,0,0.017,0.537,0.007,5179
I2980,UnitedKingdom,0.365,0.007,0.008,0.09,0.006,0.02,0.498,0.005,5181
Iceman,Italy,0.225,0.006,0,0.015,0,0.051,0.676,0.026,5182
I2369,Hungary,0.41,0.018,0,0.052,0.012,0.025,0.466,0.018,5185
I7554,UnitedKingdom,0.367,0.016,0,0.098,0.004,0.018,0.485,0.011,5185
I2605,UnitedKingdom,0.356,0.006,0.006,0.111,0.003,0.017,0.488,0.013,5238
RISE487,Italy,0.175,0.015,0,0.035,0,0.06,0.69,0.025,5245
I1563,Germany,0.238,0.01,0,0.219,0.011,0.013,0.499,0.01,5361
GB1,Romania,0.148,0,0,0.294,0.023,0.009,0.527,0,5377
I2660,UnitedKingdom,0.327,0.018,0.001,0.118,0,0.011,0.518,0.007,5383
I2988,UnitedKingdom,0.367,0,0.002,0.091,0.01,0.016,0.5,0.013,5389
I2636,UnitedKingdom,0.358,0.013,0,0.096,0.007,0.021,0.499,0.006,5390
I3136,UnitedKingdom,0.37,0.008,0,0.104,0,0.019,0.485,0.015,5393
I3041,UnitedKingdom,0.315,0.016,0.005,0.159,0,0.019,0.475,0.011,5440
I3273,Spain,0.37,0,0,0.141,0,0,0.477,0.012,5445
Tamula1,Estonia,0.053,0.277,0.039,0.325,0,0.014,0.272,0.02,5445
Botai2016,Kazakhstan,0,0.475,0,0.115,0,0,0.292,0.117,5449.5
I2637,UnitedKingdom,0.354,0.004,0.002,0.086,0.009,0.021,0.521,0.004,5450
I3133,UnitedKingdom,0.344,0.012,0.004,0.103,0.004,0.016,0.506,0.011,5454
I3134,UnitedKingdom,0.339,0.013,0,0.108,0.009,0.023,0.498,0.009,5455
I4110,Ukraine,0.165,0.188,0.008,0.188,0.01,0.009,0.424,0.008,5456
I0560,Germany,0.256,0,0,0.108,0.005,0.026,0.586,0.019,5458
I2650,UnitedKingdom,0.338,0.009,0,0.102,0.001,0.018,0.521,0.012,5459
I3135,UnitedKingdom,0.298,0.015,0,0.196,0.004,0.018,0.469,0.001,5462
I5366,UnitedKingdom,0.384,0.011,0,0.109,0,0.027,0.462,0.008,5463
I2635,UnitedKingdom,0.39,0.017,0,0.096,0.006,0.022,0.463,0.006,5471
I2791,Hungary,0.392,0.017,0.002,0.058,0,0.023,0.5,0.008,5471
I6761,UnitedKingdom,0.387,0.007,0.005,0.092,0.011,0.018,0.479,0,5475
I5079,Croatia,0.435,0.015,0,0.012,0.014,0.025,0.487,0.011,5485
I6759,UnitedKingdom,0.342,0.008,0,0.11,0.012,0.018,0.508,0.002,5536
I0559,Germany,0.276,0.015,0,0.109,0,0.031,0.57,0,5540
I3068,UnitedKingdom,0.338,0.007,0,0.119,0,0.01,0.505,0.022,5557
I2634,UnitedKingdom,0.395,0.015,0,0.111,0,0.021,0.45,0.008,5569
I5371,UnitedKingdom,0.322,0,0,0.122,0.005,0.026,0.525,0,5600
I6762,UnitedKingdom,0.352,0.024,0.003,0.128,0,0.019,0.459,0.016,5600
I1593,Germany,0.249,0.019,0,0.243,0,0.017,0.472,0,5601
I2691,UnitedKingdom,0.306,0.017,0,0.163,0.004,0.013,0.49,0.006,5620
I2790,Hungary,0.401,0.023,0.003,0.041,0,0.025,0.498,0.009,5649
I2789,Hungary,0.402,0,0,0.052,0.011,0.025,0.509,0,5650
I5359,UnitedKingdom,0.347,0.013,0,0.091,0.008,0.02,0.522,0,5650
I2659,UnitedKingdom,0.347,0.011,0,0.124,0.011,0.018,0.482,0.009,5652
I2633,UnitedKingdom,0.368,0.016,0,0.122,0.009,0.021,0.453,0.012,5653
I4089,Romania,0.418,0.026,0,0.042,0.018,0.02,0.456,0.02,5653
I6750,UnitedKingdom,0.331,0.004,0,0.079,0.014,0.016,0.539,0.018,5658
I6751,UnitedKingdom,0.359,0.019,0,0.105,0.001,0.02,0.489,0.008,5658
Tamula3,Estonia,0.055,0.31,0,0.386,0.011,0.013,0.197,0.027,5670
I0405,Spain,0.3,0.012,0,0.073,0,0.032,0.544,0.04,5700
I0406,Spain,0.245,0.011,0.003,0.098,0,0.037,0.574,0.031,5700
I0407,Spain,0.277,0.008,0,0.11,0,0.025,0.554,0.026,5700
I0408,Spain,0.234,0.008,0.003,0.156,0,0.03,0.538,0.031,5727
I2788,Hungary,0.341,0.044,0,0.078,0.006,0.026,0.485,0.021,5730
I1565,Germany,0.1,0.025,0,0.432,0.007,0.009,0.428,0,5735
I2110,Ukraine,0.389,0.041,0,0.063,0,0.035,0.458,0.013,5735
I1926,Ukraine,0.374,0.038,0,0.119,0.031,0.012,0.4,0.025,5736
Saxtorp5164,Sweden,0.306,0.019,0,0.114,0.005,0.034,0.488,0.035,5746
I3920,Greece,0.41,0.071,0.01,0.02,0.009,0.033,0.432,0.015,5770
I1584,Turkey,0.613,0.156,0.08,0.007,0,0.026,0.117,0,5776
I0807,Germany,0.15,0,0.034,0.125,0,0.021,0.605,0.065,5790
I2657,UnitedKingdom,0.325,0,0,0.09,0.033,0.018,0.508,0.027,5816
I1665,Iran,0,0,1,0,0,0,0,0,5826
I1674,Iran,0,0,1,0,0,0,0,0,5836
I3709,Greece,0.423,0.031,0.013,0.005,0.015,0.023,0.476,0.014,5847
stg001,Norway,0,0.26,0.012,0.389,0,0.004,0.28,0.055,5857
I2318,Greece,0.53,0.035,0,0.018,0.005,0.025,0.38,0.008,5945
I4554,Latvia,0.021,0.363,0.035,0.329,0.023,0.013,0.167,0.049,5949
I6561,Ukraine,0.122,0.233,0.042,0.069,0.005,0.008,0.499,0.02,5960
ZVEJ31,Latvia,0,0.37,0.024,0.309,0,0.009,0.24,0.048,5965
I1407,Armenia,0,0,1,0,0,0,0,0,5975
I4435,Latvia,0.025,0.376,0.014,0.297,0.008,0.014,0.218,0.049,6003
I2783,Hungary,0.385,0.031,0,0.065,0.01,0.02,0.486,0.003,6046
I1908,Hungary,0.405,0.012,0,0.054,0.003,0.021,0.495,0.008,6050
I4189,Hungary,0.402,0.01,0,0.055,0.021,0.022,0.483,0.006,6050
I1409,Armenia,0.159,0.367,0.474,0,0,0,0,0,6057
Klei10,Greece,0.357,0.039,0.005,0.009,0,0.052,0.531,0.007,6063
I4627,Latvia,0.068,0.124,0,0.46,0.002,0.013,0.327,0.006,6064
I1632,Armenia,0.16,0.124,0.649,0,0,0,0.067,0,6065
I1909,Hungary,0.431,0.007,0,0.051,0.014,0.021,0.465,0.012,6089
Kretuonas1,Lithuania,0.055,0.068,0,0.488,0.055,0.02,0.314,0,6090
I1631,Armenia,0.261,0.219,0.453,0,0,0,0.067,0,6100
I4436,Latvia,0.041,0.291,0.014,0.357,0,0.017,0.25,0.03,6105
I1634,Armenia,0,0.046,0.95,0.004,0,0,0,0,6145
I4437,Latvia,0.044,0.153,0.025,0.466,0,0.01,0.295,0.007,6148
I0644,Israel,0.427,0.043,0.024,0.005,0.006,0.047,0.423,0.025,6150
I1152,Israel,0.483,0.035,0.033,0.021,0.013,0.042,0.342,0.031,6150
I1160,Israel,0.509,0.047,0.027,0.01,0.005,0.045,0.331,0.027,6150
I1164,Israel,0.507,0.051,0.036,0.004,0.018,0.038,0.333,0.012,6150
I1165,Israel,0.512,0.057,0.054,0.007,0.012,0.041,0.294,0.023,6150
I1166,Israel,0.529,0.04,0.03,0.018,0,0.044,0.316,0.023,6150
I1168,Israel,0.477,0.042,0.027,0.011,0,0.046,0.375,0.022,6150
I1169,Israel,0.425,0.037,0.035,0.007,0.014,0.045,0.423,0.013,6150
I1170,Israel,0.478,0.03,0.048,0.019,0.012,0.038,0.353,0.022,6150
I1171,Israel,0.515,0.077,0.009,0,0.001,0.032,0.341,0.025,6150
I1178,Israel,0.454,0.034,0.038,0.01,0.006,0.041,0.401,0.015,6150
I1179,Israel,0.519,0.035,0.047,0.021,0.023,0.03,0.301,0.025,6150
I1182,Israel,0.509,0.03,0.039,0.022,0.035,0.036,0.318,0.012,6150
I1184,Israel,0.519,0.054,0.051,0,0.021,0.038,0.278,0.039,6150
Kretuonas2,Lithuania,0.043,0.063,0.001,0.49,0.033,0.019,0.345,0.005,6150
Kretuonas4,Lithuania,0.033,0.095,0,0.484,0.02,0.012,0.345,0.012,6150
I1907,Hungary,0.386,0.011,0.002,0.054,0.002,0.017,0.519,0.009,6153
I4088,Romania,0.414,0.024,0.003,0.059,0.019,0.018,0.452,0.012,6154
I2353,Hungary,0.414,0.025,0,0.038,0.002,0.009,0.492,0.02,6200
I2354,Hungary,0.397,0.032,0,0.049,0,0.011,0.491,0.02,6200
I2356,Hungary,0.378,0.025,0,0.044,0,0.031,0.516,0.007,6200
I2519,Bulgaria,0.467,0.04,0.005,0.011,0,0.017,0.438,0.022,6242
Spiginas1,Lithuania,0.067,0.067,0.001,0.5,0.028,0.022,0.309,0.007,6290
I2793,Hungary,0.407,0.022,0,0.051,0.004,0.021,0.494,0.002,6301
I2424,Bulgaria,0.428,0.034,0.003,0.035,0.017,0.016,0.45,0.017,6304
I2427,Bulgaria,0.45,0.021,0,0.024,0.018,0.017,0.455,0.015,6340
Kretuonas5,Lithuania,0.06,0.066,0.013,0.46,0.045,0.018,0.338,0,6345
I4893,CzechRepublic,0.417,0.019,0,0.043,0,0.019,0.5,0.003,6349
Pal7,Greece,0.345,0.032,0.004,0.012,0.004,0.06,0.528,0.016,6351
I2509,Bulgaria,0.44,0.017,0,0.013,0.018,0.02,0.481,0.011,6353
I1495,Hungary,0.622,0.013,0,0.086,0.004,0.007,0.264,0.003,6374
I4894,CzechRepublic,0.429,0.023,0,0.043,0.016,0.022,0.468,0,6378
I1378,Ukraine,0.059,0.284,0.053,0.376,0,0.012,0.188,0.028,6381
I2423,Bulgaria,0.498,0.058,0,0.034,0.005,0.014,0.378,0.012,6388
I0781,Bulgaria,0.419,0.018,0,0.012,0.005,0.018,0.501,0.027,6400
I2430,Bulgaria,0.435,0.033,0,0.035,0.006,0.02,0.461,0.01,6448
I1131,Serbia,0.471,0.011,0.002,0.023,0.004,0.02,0.461,0.007,6483
I2425,Bulgaria,0.465,0.064,0,0.043,0.007,0.011,0.409,0,6515
I1661,Iran,0.039,0.05,0.767,0.007,0.005,0.011,0.107,0.015,6544
I0122,Russia,0,0.778,0.004,0.215,0,0,0,0.003,6550
I0433,Russia,0,0.75,0,0.246,0,0,0,0.004,6550
I0434,Russia,0,0.913,0,0.087,0,0,0,0,6550
I3708,Greece,0.448,0.041,0,0.006,0.006,0.025,0.473,0.003,6550
I0634,Serbia,0.38,0.015,0.002,0.012,0.001,0.03,0.537,0.022,6557
I5078,Croatia,0.42,0.015,0,0.026,0.009,0.023,0.501,0.006,6569
ANI159-ANI181,Bulgaria,0.428,0.046,0,0.063,0,0.018,0.435,0.01,6571
Donkalnis6,Lithuania,0.081,0.067,0,0.502,0.022,0.02,0.302,0.007,6575
ANI163,Bulgaria,0.178,0.092,0.034,0.055,0.026,0.015,0.599,0.001,6577
I4111,Ukraine,0.083,0.272,0.003,0.382,0,0.015,0.218,0.028,6585
